,,,
10,57.1428571428571,10,51.6129032258065
100,38.6587771203156,100,36.1623616236162
1000,34.6949417695116,1000,33.7048294495103
1500,34.279500972874,1500,33.6213668499607
2000,34.0086830680174,2000,33.6307019020367
2500,33.9333016368947,2500,33.485254691689
5000,33.6091211784885,5000,33.4403853873946
6000,33.6202304522134,6000,33.4085338680927
7000,33.5073518846688,7000,33.4440488422662
8000,33.5030699272857,8000,33.3889955748518
9000,33.4635780072565,9000,33.3976690668844
10000,33.549914374937,10000,33.3722754431056
11000,33.4999542808376,11000,33.3702495638322
12000,33.3792892156863,12000,33.3964259867505
15000,33.4561862002725,15000,33.3871290875498
20000,33.3910744022963,20000,33.3572417474271
25000,33.4427594170208,25000,33.3577971857674
30000,33.4242157889138,30000,33.3490822985337
35000,33.4918083581858,35000,33.3523918429579
40000,33.5811296805585,40000,33.3495906491254
50000,33.6126655905797,50000,33.3508969095887
60000,33.7331886582336,60000,33.3454656590353
