input vertices (qh),time spent (qh),input vertices (inc), time spent (inc)
10,37,10,19
100,328,100,365
1000,1876,1000,2625
2000,3077,2000,5431
5000,6204,5000,20287
10000,14768,10000,39569
20000,25555,20000,67445
30000,34844,30000,83982
50000,53582,50000,186352
100000,112205,100000,443416
150000,176087,150000,767733
200000,236426,200000,1153361
300000,404501,300000,1716651
500000,705314,500000,3502601
600000,888334,600000,3982919
700000,1099078,700000,5163427
800000,1285925,800000,5997639
900000,1473578,900000,6782314
1000000,1691654,1000000,6770819
1100000,1889565,1100000,8012726
1200000,2125874,1200000,8572518
1300000,2418840,1300000,9694215
1400000,2501604,1400000,11228684
1500000,2758583,1500000,12682215
2000000,4023273,2000000,15737394
3000000,6465356,3000000,21809578
4000000,9346477,4000000,29290413
5000000,11690944,5000000,40663986
6000000,15088659,6000000,47260613
7000000,18767406,7000000,57479135
8000000,20260475,8000000,68237680
9000000,23867470,9000000,78349128
10000000,26035446,10000000,88967908
