input (qh),,input (inc),processed (inc),input (again),in hull
10,9,10,9,10,9
100,49,100,53,100,48
1000,51,1000,88,1000,48
2000,52,2000,107,2000,48
5000,52,5000,151,5000,48
10000,56,10000,177,10000,48
20000,55,20000,202,20000,48
30000,56,30000,232,30000,48
50000,59,50000,299,50000,48
100000,57,100000,466,100000,48
150000,56,150000,643,150000,48
200000,63,200000,741,200000,48
300000,65,300000,931,300000,48
500000,65,500000,1103,500000,48
600000,64,600000,1181,600000,48
700000,67,700000,1194,700000,48
