input (qh),time (qh),input (inc),time(qh)
10,100,10,23
100,2648,100,759
1000,39144,1000,9938
1500,58432,1500,15313
2000,83554,2000,27482
2500,110389,2500,34315
5000,281680,5000,66886
6000,375548,6000,64473
7000,478045,7000,76505
8000,609373,8000,107680
9000,703789,9000,126568
10000,830329,10000,142244
11000,970072,11000,108813
12000,1121392,12000,124239
15000,1652586,15000,160696
20000,2744680,20000,229700
25000,4123089,25000,315260
30000,5794597,30000,429282
35000,7665455,35000,555933
40000,10126188,40000,670774
50000,15436186,50000,1030864
60000,23100024,60000,1465319
