input vertices (qh), time spent (qh),input vertices (inc), time spent (inc)
10,51,10,23
100,1149,100,475
1000,14670,1000,9146
5000,129489,2000,24554
6000,171999,5000,53462
7000,210712,6000,63273
10000,387168,10000,106477
12000,552673,12000,128050
14000,630408,14000,153414
15000,843985,15000,165425
20000,1489690,20000,229222
30000,3397550,30000,377913
40000,6807008,40000,546547
50000,11085598,50000,725389
75000,27056116,75000,1387293
100000,55437913,100000,1970105
150000,181022240,150000,4441451
