10,95,10,161
100,1781,100,3018
1000,20172,1000,39171
2000,41197,2000,99864
5000,112136,5000,207579
10000,250266,10000,533974
20000,542537,20000,831284
30000,850584,30000,1433665
50000,1518313,50000,2038095
100000,3443182,100000,4895134
150000,5579979,150000,6146924
200000,7600250,200000,10361706
300000,12421388,300000,14122798
500000,22316576,500000,28808716
600000,27562187,600000,21379882
700000,33116854,700000,40178081
800000,39713117,800000,45623162
900000,45498591,900000,53715038
1000000,50805345,1000000,51477159
1100000,56947258,1100000,64229391
1200000,63408670,1200000,63386703
1300000,67612866,1300000,60444915
1400000,75883990,1400000,74784567
1500000,82955034,1500000,59785297
2000000,114853886,2000000,86857347
3000000,191318460,3000000,117715731
4000000,261848961,4000000,192708040
5000000,329483592,5000000,255171438
6000000,422343936,6000000,306795530
7000000,486006173,7000000,375666177
8000000,552197838,8000000,403043442
9000000,663583511,9000000,433362846
10000000,738906121,10000000,424311315
